read_id	reason
ILLUMINA-075005_0053_FC:3:1:3920:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:5573:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:6129:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:6263:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:8419:1059#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:8800:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:11271:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:11306:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:11347:1058#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:1574:1065#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:1727:1067#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:1817:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:1993:1067#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:2121:1065#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:2212:1070#0/1	extension_failed
ILLUMINA-075005_0053_FC:3:1:2462:1066#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:2685:1060#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:2720:1061#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3174:1068#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3373:1067#0/1	extension_failed
ILLUMINA-075005_0053_FC:3:1:3441:1068#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3513:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3542:1068#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3659:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3695:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3783:1069#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3812:1063#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:3966:1066#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4158:1063#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4647:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4696:1061#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4721:1064#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4742:1069#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:4886:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:5149:1064#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:5223:1064#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:5757:1063#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:5954:1063#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:6731:1063#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:6765:1062#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:7137:1070#0/1	no_exact_seed_match
ILLUMINA-075005_0053_FC:3:1:7221:1066#0/1	extension_failed
